pair,participant,trial,trial_id,story_id,target,correct_target,icon,index,prop,size,distance,item_num,producer,guesser,strategy_combo
15,2,10,14,ep2,chair,1,1,0,0,element,proximate,2,15_2,15_1,icon_only
15,1,11,10,ed2,sofa,1,1,1,0,element,displaced,2,15_1,15_2,both
15,2,12,8,cp4,city,0,0,1,0,complete,proximate,4,15_2,15_1,index_only
15,1,13,7,cp3,laboratory,1,1,0,0,complete,proximate,3,15_1,15_2,icon_only
15,2,14,9,ed1,stairs,0,1,0,0,element,displaced,1,15_2,15_1,icon_only
15,1,15,15,ep3,coathanger,0,0,1,0,element,proximate,3,15_1,15_2,index_only
15,2,16,12,ed4,carpet,1,1,0,1,element,displaced,4,15_2,15_1,icon_only
16,1,1,15,ep3,coathanger,0,0,1,0,element,proximate,3,16_1,16_2,index_only
16,2,2,1,cd1,house,0,1,0,0,complete,displaced,1,16_2,16_1,icon_only
16,1,3,9,ed1,stairs,0,1,1,1,element,displaced,1,16_1,16_2,both
16,2,4,10,ed2,sofa,0,1,1,0,element,displaced,2,16_2,16_1,both
16,1,5,4,cd4,countryside,0,1,1,0,complete,displaced,4,16_1,16_2,both
16,2,6,3,cd3,mountains,0,1,0,0,complete,displaced,3,16_2,16_1,icon_only
16,1,7,7,cp3,laboratory,1,1,0,0,complete,proximate,3,16_1,16_2,icon_only
16,2,8,5,cp1,room,1,1,1,0,complete,proximate,1,16_2,16_1,both
16,1,9,13,ep1,window,1,1,0,0,element,proximate,1,16_1,16_2,icon_only
16,2,10,6,cp2,basement,1,1,1,0,complete,proximate,2,16_2,16_1,both
16,1,11,16,ep4,painting,1,0,1,0,element,proximate,4,16_1,16_2,index_only
16,2,12,14,ep2,chair,1,1,0,0,element,proximate,2,16_2,16_1,icon_only
16,1,13,2,cd2,attic,1,0,1,0,complete,displaced,2,16_1,16_2,index_only
16,2,14,12,ed4,carpet,0,1,1,0,element,displaced,4,16_2,16_1,both
16,1,15,8,cp4,city,1,0,1,0,complete,proximate,4,16_1,16_2,index_only
16,2,16,11,ed3,tree,1,1,0,1,element,displaced,3,16_2,16_1,icon_only
17,1,1,8,cp4,city,0,1,0,0,complete,proximate,4,17_1,17_2,icon_only
17,2,2,4,cd4,countryside,1,1,0,0,complete,displaced,4,17_2,17_1,icon_only
17,1,3,9,ed1,stairs,1,1,0,1,element,displaced,1,17_1,17_2,icon_only
17,2,4,13,ep1,window,0,0,1,0,element,proximate,1,17_2,17_1,index_only
